No,Address,Balance
54,"XqBBK9j19uB72quN4f8UWBFfP1cLf9FVWXZj8DiUAWwib2isa", "177000000000000000"
55,"XqBzS7aEfApZxGMd1Ge7TT9brtXCQMNo8BVmoSzC452quPvp5", "854280000000000000"
56,"XqEaUuvDHficT43hXdCNGGq2V9aCHC6MFc9Q5NJAFLmaMzTEy", "20000000000000000"
57,"XqDY9zfYLfYgD5oyRnynrV3DAb6eJBHgLf7LQXX4VLAsCguqe", "410440000000000000"
58,"XqB6duAH38vsYzG4pSQJhDUEDLV7kgmP3uCT9xMHXp7euGVsY", "18000000000000000"
59,"XqBQihCVaK5rZ5vveE1yMenRcYM3w1ckF94FGozhLCVGWKrN2", "58000000000000000"
60,"XqFAJM19chtjJsFRCszRER1VMKdpPbun2fBDXnBuTE5X2NXri", "308000000000000000"
61,"XqD3WzPzrbvbRfkspwokueDvzZEMHVWytDQnoRtW56vtQ5xAf", "50000000000000000"
62,"XqAzQdsFeFKstqjkwArhjgkagyLvswZFzuXEaSQUZnPk2ZtoY", "22000000000000000"
63,"XqD7vCj2MkgNWwss2pfd7iUpzEHYYsUzmMw6YUBXEA7W5XCi3", "10000000000000000"
64,"XqFkW87Pwa87nvMy59Vz7a7QGLhD1CYhsv29je3MBjEC5NkMk", "20000000000000000"
65,"XqDnvCYwYj2FrVAczDrEPuhxi31o1Ug14Rt5ntQ5iA8HRHSUa", "40000000000000000"
66,"XqCrw99pTuAwBSduZvX5wVmdePgVNtYtkEvWeUMrbvHiKD4f7", "11140000000000000"
67,"XqAHDmCYRmwySiPiZLepTusyz9JgQgPTtBzyFqcKp6vg2Mtru", "12000000000000000"	
68,"XqDJYJqr6Kh1hko1BXghcZnafDAzwGKfCjMxDoSWb69Xm2gg9", "47720000000000000"
69,"XqAB74LfvnpEY5U52tqXUXnKGoJSbxotRqrk7q1C9sRZZNc8Q", "30000000000000000"
70,"XqDhyCUc3JyJLG8Uy8Ya1ZRemG9NLjNR4qmnqmwDZprSERHF1", "30000000000000000"
71,"XqEvkjvXQnKfqHQ5gPNnPP1jEZdxQ7ZaLD1oiaZ7nPQutVdED", "160000000000000000"
72,"XqEu3L5fhLyMzstCHKMMLAbCKEsNBETpF5GakU846RUMejHBg", "20000000000000000"
73,"XqATDJRnX92SXoKRM3pPz93arnnc3UEJgqHenCehJJ43DzMaC", "13714000000000000"
74,"XqCiMGhBvmLeYYPHtdajKdRp6xT74f4krjeraS5KaT4pa8R5k", "18000000000000000"
75,"XqD53Lc75U1tmnRnKGUDHC6tqGgthqWno8xQVhNLQACr8XG7k", "20000000000000000"
76,"XqA8kNNbHB1AmSrqDNbESxZYfCk1n7TXBrA3s2WvppzAm1Ycx", "10000000000000000"
77,"XqCXwFdQr9Y57psvgULQ6uPb1Rn6iSRYqitNLeR7jS9RdepT1", "10000000000000000"
78,"XqCAWQ5GbN1nQjoegMLvvgRkZMa35zAHjvsHS9v6caw4m6FA8", "13710000000000000"
79,"XqFRqmCkqMgBVuXKPLvFbMayzqjhaN83aPmrg3jtohTJnDdnc", "58800000000000000"
80,"XqCqv5LUwt9TR5qfZ1YMogiUkyc82cpnPFLBw2o9Denn4C8KG", "142857000000000000"
81,"XqEtnDNLm2wDA21BsFHeaZUdN5w1uSoZcHqXg86jbeyrKzACw", "10000000000000000"
82,"XqEkhQvznCHZBDSYzAthtmRNvbKkQAP5LVFJW29WKwDPtLsVo", "60000000000000000"
83,"XqEJ85TjsZxLqmxSmmDFCuvwU7CxaQMSp2azyXBVGQ5WJP23Y", "154550000000000000"
84,"XqE5twdgXL8DeMjsSXZ2eY2BmWwXoQWbEVjWEQ66WXKvZNCXC", "57142000000000000"
85,"XqFcNCK3vUVufMiNUrvVBqv1Gai6LNqz4HqGyWsCnnFGdLAVu", "182850000000000000"
86,"XqEXNaDi3nJntWZCERWuPSyZMMxaoYUzG769mXrF6Qz7xud4T", "100000000000000000"
87,"XqEhS6KDi6B1ApXkj39DPiQemDppiAG5Xsq7HM3LkRsWV7oS5", "12000000000000000"
88,"XqAEyvtJKTpCtGUywm384TgFCz2CAbRNm2qDUV9CXktaMukSj", "17771000000000000"
89,"XqEM4otrajcDG1TfvcMEBUX8ynfFfZeD9bP55UHFs93QHTEft", "3740000000000000"
90,"XqCdhhvmHNPMK5f5qLhvsz8Vm1gtj9VZLu2qLofYt2hpWP2Hh", "7700000000000000"
91,"XqAriFC6Z2hnav3rGKzKkN6ej8tHchBWaCXYshuZAQKuNx4yS", "50000000000000000"
92,"XqDzf7C6PU78zWbsSnJjSU4qpg8omgMt5zt1QSqEcAbpiLWxT", "295310000000000000"
93,"XqEaeDYNy71kx6VdT6445piKr2GHFVBUTGruWDwZa3wv827ga", "115610000000000000"
94,"XqDAswcjSf2EGxU4jyG7837giLL3H4xNfoTGQn2SMEyJAAaQJ", "28570000000000000"
95,"XqCYg7jrqyVA7c7FoXoH8Hoi1LsHyhDpgcRm4njKur3L1uTxL", "336400000000000000"
96,"XqBwU85qqybX2SsVdh7o6c6UVJqjsPbC8Jm2zNc4D9HnUGdL9", "10000000000000000"
97,"XqD8UGhL5Gv9dNUQx8aFkJLm48dzg6qZc6gwBgbYQjAEtY1H3", "10000000000000000"
98,"XqAQJ441tww7rA4Dyef28vBh1foqZscAQC5uMXqEuzeRmRJmv", "30000000000000000"
99,"XqFFQZPM9ndm2th9VkymswqJ3NLjd9C8CfqB1oVirnYrtyUSQ", "10000000000000000"
100,"XqEk5VH8P24v3XrbLfAtGY3F5SoqvqNJzEc3WvcWpmFmN4gSU", "10000000000000000"
101,"XqCi3RxUqQPFjXXSFaCtH5YKfz1qczTCt6Z2p3ptfusbn8by3", "40000000000000000"
102,"XqDPw3e33BMbBeuv2AARYPqs1iPQvzabacwxdeAx398WHHpdk", "30100000000000000"
103,"XqAY4Mf6nvBoxitt1EzfPVPdBCwCQ3QGRgngf7wyiTLTWmcyn", "280000000000000000"
104,"XqANamEmkjCyRdariAcYkUk5eyJUDLwodyn13iDrzyiRVui7B", "30000000000000000"
105,"XqF2XJdaKxCXgUETYdTKdZfsb5KTp39EwxF7HaCnitDCSEugZ", "76000000000000000"
106,"XqCuRy8HBPFwvDBHx7PcSLHwVRw6noHd5ZnEQJTNgsJrSSQvu", "24345000000000000"
107,"XqBtjEua9FYkLUfozjAixRz9pnT5nhBVa8RM4CZ9FatpTfD4m", "300570000000000000"
108,"XqFLm6vzDgntmp7A198WbjjpPcDwjCesNA4hag4mb472Kwo25", "125200000000000000"
109,"XqEGKgSXjNUYVVYtVfMwEQDpZY9g6T5wABAf9YPJC8kPQcuB9", "102020000000000000"
110,"XqBktCzWKspsLW6R97Ad1upJtqYPdf6JvY8arTdwEvNV5qsgV", "10000000000000000"
111,"XqD313VxBjHjjpb2n1tAUmbrAw7AaUtyFhqHfmmuudKdqurs1", "54000000000000000"
112,"XqD8Nv14BXpVDP1mmx8DtsuWRpc8Do2mrHdJ5vebdZS9EFaK3", "407650000000000000"	
